split,epoch,train_loss,loss,f1_macro,f1_micro,pearson_mean,precision,recall,support
val,1.0,0.30904657155396004,0.26671651005744934,0.003149508951683318,0.005672149744753261,0.3044936299324036,,,
test,1.0,,0.2625659108161926,0.0014336917562724016,0.002331002331002331,0.2760081499814987,,,
val,2.0,0.2503195851437959,0.2446790635585785,0.13929204589869423,0.17535545023696683,0.40935074388980863,,,
test,2.0,,0.24014341831207275,0.13893604221853453,0.1902071563088512,0.40734222531318665,,,
val,3.0,0.21401270198435918,0.2356061488389969,0.18695081318230258,0.25075659316904453,0.4436633865038554,,,
test,3.0,,0.2320442944765091,0.20575299630441848,0.2798283261802575,0.4174725830554962,,,
val,4.0,0.18566928508310665,0.23014134168624878,0.2844793109064676,0.3940443213296399,0.4640623946984609,,,
test,4.0,,0.22870288789272308,0.278139525684719,0.3978201634877384,0.43749649326006573,,,
val,5.0,0.15841404532614026,0.2344459891319275,0.32419792690258,0.4155844155844156,0.4683956821759542,,,
test,5.0,,0.23480992019176483,0.3238421767072239,0.4184818481848185,0.4374850829442342,,,
val,6.0,0.136259997904542,0.24402320384979248,0.3680604251130678,0.45143212951432127,0.46908212701479596,,,
test,6.0,,0.24638855457305908,0.3679029967021297,0.4527829893683552,0.43672952950000765,,,
val,7.0,0.11911078696308831,0.25051310658454895,0.3661220573070088,0.45264145045326665,0.4646078666051229,,,
test,7.0,,0.2534690797328949,0.3715364103895433,0.4578616352201258,0.43415207266807554,,,
val,8.0,0.1034341649970545,0.2545353174209595,0.37710861858689165,0.4426649583600256,0.4582793672879537,,,
test,8.0,,0.25596800446510315,0.38131073023265477,0.4514066496163683,0.4329599897066752,,,
val,9.0,0.09182200258077397,0.2636389136314392,0.39620989002794105,0.46015503875968994,0.4588768561681112,,,
test,9.0,,0.26623204350471497,0.38206136478845765,0.4540337711069418,0.4294037133455276,,,
val,10.0,0.08554789122299626,0.26553624868392944,0.3871181214505021,0.4579870729455217,0.4612305005391439,,,
test,10.0,,0.26801034808158875,0.39016461853181805,0.4582043343653251,0.43195687035719554,,,
val,10.0,0.08554789122299626,0.0,0.0,0.0,0.0,,,
test,10.0,,0.2662332355976105,0.38191358881683063,0.45375,0.4294302592674891,,,
classwise,,,,,,,,,
classwise,final,,,0.28,,,0.5,0.19444444444444445,36.0
classwise,final,,,0.11764705882352941,,,0.5,0.06666666666666667,15.0
classwise,final,,,0.0,,,0.0,0.0,9.0
classwise,final,,,0.46846846846846846,,,0.4482758620689655,0.49056603773584906,159.0
classwise,final,,,0.44554455445544555,,,0.4368932038834951,0.45454545454545453,99.0
classwise,final,,,0.575,,,0.7666666666666667,0.46,50.0
classwise,final,,,0.5142857142857142,,,0.5357142857142857,0.4945054945054945,91.0
classwise,final,,,0.4482758620689655,,,0.48148148148148145,0.41935483870967744,31.0
classwise,final,,,0.6363636363636364,,,0.7,0.5833333333333334,12.0
classwise,final,,,0.46226415094339623,,,0.4336283185840708,0.494949494949495,99.0
classwise,final,,,0.345679012345679,,,0.5,0.2641509433962264,53.0
classwise,final,,,0.5652173913043478,,,0.5416666666666666,0.5909090909090909,22.0
classwise,final,,,0.44642857142857145,,,0.4854368932038835,0.4132231404958678,121.0
classwise,final,,,0.4235294117647059,,,0.5625,0.33962264150943394,53.0
classwise,final,,,0.0,,,0.0,0.0,6.0
